"BANNER","轮播"
"Banner","轮播"
"Mannger Banner","轮播管理"
"Banners","轮播"
"Add New Banner","添加新轮播"
"New Banner","新轮播"
"Name","名称"
"Middle Name","中间标题"
"Description","描述"
"Status","状态"
"Yes","开启"
"No","关闭"
"Edit Banner","编辑轮播"
"Delete Banner","删除轮播"
"Save Banner","保存轮播"
"BANNER INFORMATION","轮播信息"
"Banner Information","轮播信息"
"URL Key","链接"
"Tags","标签"
"Background","背景颜色"
"Description Background","简介背景颜色"
"Edge Color","边框颜色"
"Background Image","背景图片"
"Product Image","产品图片"
"Delete File","删除文件"
"A total of %1 record(s) have been deleted.","总共删除了 %1 个记录。"
"An error occurred while deleting record(s).","删除记录时出错。"
"Save and Continue Edit","保存并继续编辑"
"Something went wrong while saving the Post.","保存轮播时出现问题。"
"The Post has been deleted.","轮播被删除了。"
"The Post has been saved.","轮播已保存。"
"This Post no longer exists.","这个轮播已经不存在了。"
"Post to delete was not found.","找不到要删除的轮播。"
"Please Select Posts.","请选择轮播。"